id,label,node_type,pub_count
Vassil Roussev,Vassil Roussev,Author,18
Sangjin Lee,Sangjin Lee,Author,19
Andrew Case,Andrew Case,Author,15
Golden G. Richard III,Golden G. Richard III,Author,24
Frank Breitinger,Frank Breitinger,Author,29
Mourad Debbabi,Mourad Debbabi,Author,17
Ibrahim Baggili,Ibrahim Baggili,Author,32
Felix C. Freiling,Felix C. Freiling,Author,26
Mark Scanlon,Mark Scanlon,Author,20
Harald Baier,Harald Baier,Author,14
